sentence,temperature,attempt,visible,acceptable,correctable,additional,add_inf,acceptable_inf
25,0.3,2,1,1,1,0,,1
26,0.3,2,0,0,0,0,,0
27,0.3,2,0,0,0,0,,0
28,0.3,2,0,0,0,1,е - ё,0
29,0.3,2,0,0,0,1,непосредственной - характерной,0
30,0.3,2,0,0,0,0,,0
31,0.3,2,1,1,1,0,,1
32,0.3,2,0,0,0,0,,0
1,0.3,3,1,1,0,0,,появилась
2,0.3,3,1,1,0,0,,размеренной
3,0.3,3,1,1,1,0,,1
4,0.3,3,0,0,0,1,изменил пунктуацию ,0
5,0.3,3,1,1,1,0,,1
6,0.3,3,0,0,0,1,изменил пунктуацию ,0
7,0.3,3,1,1,1,0,,1
8,0.3,3,1,1,1,0,,1
9,0.3,3,0,0,0,0,,0
10,0.3,3,0,0,0,1,"добавил ""есть""",0
11,0.3,3,1,1,1,0,,1
12,0.3,3,1,1,1,0,,1
13,0.3,3,0,0,0,1,е - ё,0
14,0.3,3,1,1,0,0,,спаду
15,0.3,3,1,1,1,0,,1
16,0.3,3,0,0,0,0,,0
17,0.3,3,1,1,1,0,,1
18,0.3,3,0,0,0,0,,0
19,0.3,3,0,0,0,1,изменил пунктуацию,0
20,0.3,3,1,1,1,0,,1
21,0.3,3,0,0,0,0,,0
22,0.3,3,1,1,1,0,,1
23,0.3,3,1,1,0,0,,выгодное положение
24,0.3,3,1,1,1,0,,1
25,0.3,3,1,1,1,0,,1
26,0.3,3,0,0,0,0,,0
27,0.3,3,0,0,0,0,,0
28,0.3,3,0,0,0,1,е - ё,0
29,0.3,3,0,0,0,1,непосредственной - характерной,0
30,0.3,3,0,0,0,0,,0
31,0.3,3,1,1,1,0,,1
32,0.3,3,0,0,0,0,,0
1,0.6,1,1,1,0,0,,появилась
2,0.6,1,0,0,0,0,,0
3,0.6,1,1,1,1,0,,1
4,0.6,1,0,0,0,1,изменил пунктуацию ,0
5,0.6,1,1,1,1,0,,1
6,0.6,1,0,0,0,1,изменил пунктуацию ,0
7,0.6,1,1,1,1,0,,1
8,0.6,1,1,1,1,0,,1
9,0.6,1,0,0,0,0,,0
10,0.6,1,0,0,0,1,"добавил ""есть""",0
11,0.6,1,1,1,1,0,,1
12,0.6,1,1,1,1,0,,1
13,0.6,1,0,0,0,1,е - ё,0
14,0.6,1,1,1,0,0,,спаду
15,0.6,1,1,1,1,0,,1
16,0.6,1,0,0,0,0,,0
17,0.6,1,1,1,1,0,,1
18,0.6,1,0,0,0,0,,0
19,0.6,1,0,0,0,1,изменил пунктуацию,0
20,0.6,1,1,1,1,0,,1
21,0.6,1,0,0,0,0,,0
22,0.6,1,1,1,1,0,,1
23,0.6,1,1,1,0,1,государствами,выгодное положение
24,0.6,1,1,1,1,0,,1
25,0.6,1,1,1,1,0,,1
26,0.6,1,0,0,0,0,,0
27,0.6,1,0,0,0,0,,0
28,0.6,1,0,0,0,1,е - ё,0
29,0.6,1,0,0,0,1,непосредственной - характерной,0
30,0.6,1,0,0,0,0,,0
31,0.6,1,1,1,1,0,,1
32,0.6,1,0,0,0,0,,0
1,0.6,2,1,1,0,0,,появилась
2,0.6,2,1,1,0,0,,размеренной
3,0.6,2,1,1,1,0,,1
4,0.6,2,0,0,0,1,изменил пунктуацию ,0
5,0.6,2,1,1,1,0,,1
6,0.6,2,0,0,0,1,изменил пунктуацию ,0
7,0.6,2,1,1,1,0,,1
8,0.6,2,1,1,1,0,,1
9,0.6,2,0,0,0,0,,0
10,0.6,2,0,0,0,1,"добавил ""есть""",0
11,0.6,2,1,1,1,0,,1
12,0.6,2,1,1,1,0,,1
13,0.6,2,0,0,0,1,е - ё,0
14,0.6,2,1,1,0,0,,спаду
15,0.6,2,1,1,1,0,,1
16,0.6,2,0,0,0,0,,0
17,0.6,2,1,1,1,0,,1
18,0.6,2,0,0,0,0,,0
19,0.6,2,0,0,0,1,изменил пунктуацию,0
20,0.6,2,1,1,1,0,,1
21,0.6,2,0,0,0,0,,0
22,0.6,2,1,1,1,0,,1
23,0.6,2,1,1,0,0,,выгодное положение
24,0.6,2,1,1,1,0,,1
25,0.6,2,1,1,1,0,,1
26,0.6,2,0,0,0,0,,0
27,0.6,2,0,0,0,0,,0
28,0.6,2,0,0,0,1,е - ё,0
29,0.6,2,0,0,0,1,непосредственной - характерной,0
30,0.6,2,0,0,0,0,,0
31,0.6,2,1,1,1,0,,1
32,0.6,2,0,0,0,0,,0
1,0.6,3,1,1,0,0,,появилась
2,0.6,3,1,1,0,0,,размеренной
3,0.6,3,1,1,1,0,,1
4,0.6,3,0,0,0,1,изменил пунктуацию ,0
5,0.6,3,1,1,1,0,,1
6,0.6,3,0,0,0,1,изменил пунктуацию ,0
7,0.6,3,1,1,1,0,,1
8,0.6,3,1,1,1,0,,1
9,0.6,3,0,0,0,0,,0
10,0.6,3,0,0,0,1,"добавил ""есть""",0
11,0.6,3,1,1,1,0,,1
12,0.6,3,1,1,1,0,,1
13,0.6,3,0,0,0,1,е - ё,0
14,0.6,3,1,1,0,0,,спаду
15,0.6,3,1,1,1,0,,1
16,0.6,3,0,0,0,0,,0
17,0.6,3,1,1,1,0,,1
18,0.6,3,0,0,0,0,,0
19,0.6,3,0,0,0,1,изменил пунктуацию,0
20,0.6,3,0,0,0,0,,0
21,0.6,3,0,0,0,0,,0
22,0.6,3,1,1,1,0,,1
23,0.6,3,1,1,0,0,,выгодное положение
24,0.6,3,1,1,1,0,,1
25,0.6,3,1,1,1,0,,1
26,0.6,3,0,0,0,0,,0
27,0.6,3,0,0,0,0,,0
28,0.6,3,0,0,0,1,е - ё,0
29,0.6,3,0,0,0,1,непосредственной - характерной,0
30,0.6,3,0,0,0,0,,0
31,0.6,3,1,1,1,0,,1
32,0.6,3,0,0,0,0,,0
1,1.0,1,1,1,0,0,,появилась
2,1.0,1,1,1,0,0,,размеренной
3,1.0,1,1,1,1,0,,1
4,1.0,1,0,0,0,1,изменил пунктуацию ,0
5,1.0,1,1,1,1,0,,1
6,1.0,1,0,0,0,1,изменил пунктуацию ,0
7,1.0,1,1,1,1,0,,1
8,1.0,1,1,1,1,0,,1
9,1.0,1,0,0,0,0,,0
10,1.0,1,0,0,0,1,"добавил ""есть""",0
11,1.0,1,1,1,1,0,,1
12,1.0,1,1,1,1,0,,1
13,1.0,1,0,0,0,1,е - ё,0
14,1.0,1,1,1,0,0,,спаду
15,1.0,1,1,1,1,0,,1
16,1.0,1,0,0,0,0,,0
17,1.0,1,1,1,1,0,,1
18,1.0,1,0,0,0,0,,0
19,1.0,1,0,0,0,1,изменил пунктуацию,0
20,1.0,1,1,1,1,0,,1
21,1.0,1,0,0,0,0,,0
22,1.0,1,1,1,1,0,,1
23,1.0,1,1,1,0,1,государствами,выгодное положение
24,1.0,1,1,1,1,0,,1
25,1.0,1,1,1,1,0,,1
26,1.0,1,0,0,0,0,,0
27,1.0,1,0,0,0,0,,0
28,1.0,1,0,0,0,1,е - ё,0
29,1.0,1,0,0,0,1,непосредственной - характерной,0
30,1.0,1,0,0,0,0,,0
31,1.0,1,1,1,1,0,,1
32,1.0,1,0,0,0,0,,0
1,1.0,2,1,1,0,0,,появилась
2,1.0,2,1,1,0,0,,размеренной
3,1.0,2,1,1,1,0,,1
4,1.0,2,0,0,0,1,изменил пунктуацию ,0
5,1.0,2,1,1,1,0,,1
6,1.0,2,0,0,0,1,изменил пунктуацию ,0
7,1.0,2,1,1,1,0,,1
8,1.0,2,1,1,1,0,,1
9,1.0,2,0,0,0,0,,0
10,1.0,2,0,0,0,1,"добавил ""есть""",0
11,1.0,2,1,1,1,0,,1
12,1.0,2,1,1,1,0,,1
13,1.0,2,0,0,0,1,е - ё,0
14,1.0,2,1,1,0,0,,спаду
15,1.0,2,1,1,1,0,,1
16,1.0,2,0,0,0,0,,0
17,1.0,2,1,1,1,0,,1
18,1.0,2,0,0,0,0,,0
19,1.0,2,0,0,0,1,изменил пунктуацию + своих намерений,0
20,1.0,2,1,1,1,0,,1
21,1.0,2,0,0,0,0,,0
22,1.0,2,1,1,1,0,,1
23,1.0,2,1,1,0,0,,выгодное положение
24,1.0,2,1,1,1,0,,1
25,1.0,2,1,1,1,0,,1
26,1.0,2,0,0,0,0,,0
27,1.0,2,0,0,0,0,,0
28,1.0,2,0,0,0,1,е - ё,0
29,1.0,2,0,0,0,1,непосредственной - характерной,0
30,1.0,2,0,0,0,0,,0
31,1.0,2,1,1,1,0,,1
32,1.0,2,0,0,0,0,,0
1,1.0,3,1,1,0,0,,появилась
2,1.0,3,0,0,0,0,,0
3,1.0,3,1,1,1,0,,1
4,1.0,3,0,0,0,1,изменил пунктуацию ,0
5,1.0,3,1,1,1,0,,1
6,1.0,3,0,0,0,1,изменил пунктуацию ,0
7,1.0,3,1,1,1,0,,1
8,1.0,3,1,1,1,0,,1
9,1.0,3,0,0,0,0,,0
10,1.0,3,0,0,0,1,"добавил ""есть""",0
11,1.0,3,1,1,1,0,,1
12,1.0,3,1,1,1,0,,1
13,1.0,3,1,0,0,1,дальний ящик,0
14,1.0,3,1,1,0,0,,спаду
15,1.0,3,1,1,1,0,,1
16,1.0,3,0,0,0,0,,0
17,1.0,3,1,1,1,0,,1
18,1.0,3,0,0,0,0,,0
19,1.0,3,0,0,0,1,изменил пунктуацию,0
20,1.0,3,1,1,1,0,,1
21,1.0,3,0,0,0,0,,0
22,1.0,3,1,1,1,0,,1
23,1.0,3,1,1,0,0,,выгодное положение
24,1.0,3,1,1,1,0,,1
25,1.0,3,1,1,1,0,,1
26,1.0,3,0,0,0,0,,0
27,1.0,3,0,0,0,0,,0
28,1.0,3,0,0,0,1,е - ё,0
29,1.0,3,0,0,0,1,непосредственной - характерной,0
30,1.0,3,0,0,0,0,,0
31,1.0,3,1,1,1,0,,1
32,1.0,3,0,0,0,0,,0
